'5.6_millimetres' | structural violation
garratt | structural violation
swimming_race -> aquatic_sports_event -> sports_event -> sports_competition | semantic abstraction jump
swimming_race -> aquatic_sports_event -> sports_event -> sports_competition -> athletic_activity | semantic abstraction jump
swimming_race -> aquatic_sports_event -> sports_event -> sports_competition -> competition | semantic abstraction jump
olympic_swimming_event | structural violation
deployable_military_unit -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
avgas | structural violation
famous_movie | structural violation
calendar_hour -> date -> calendar_day | semantic abstraction jump
calendar_hour -> date -> calendar_month | semantic abstraction jump
calendar_hour -> date -> calendar_year | semantic abstraction jump
calendar_hour -> date -> calendar_day -> interval_between_calendar_days | semantic abstraction jump
building -> fixed_freestanding_structure -> man_made_structure | semantic abstraction jump
building -> condominium -> apartment_in_building | semantic abstraction jump
building -> condominium -> housing | semantic abstraction jump
building -> condominium -> residential_building | semantic abstraction jump
building -> condominium -> housing -> sheltering | semantic abstraction jump
building -> condominium -> housing -> structure | edge semantic failure
building -> condominium -> dwelling -> housing | semantic abstraction jump
building -> condominium -> dwelling -> housing -> sheltering | semantic abstraction jump
building -> condominium -> dwelling -> housing -> structure | edge semantic failure
building -> condominium -> apartment_in_building | semantic abstraction jump
colour_blind | structural violation
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bicycle_market_category | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> wheeled_vehicle | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_way_to_say_bicycle | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_word_for_bicycle | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_word_for_bicycle | semantic abstraction jump
'10_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_way_to_say_bicycle | semantic abstraction jump
'1cm' | structural violation
12345678987654321 | structural violation
self_propelled_artillery -> self_propelled_land_platform -> military_vehicle | edge semantic failure
self_propelled_artillery -> self_propelled_land_platform -> military_vehicle -> self_powered_vehicle | edge semantic failure
self_propelled_artillery -> armored_vehicle -> self_propelled_vehicle | semantic abstraction jump
famous_film | structural violation
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bicycle_market_category | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> wheeled_vehicle | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_way_to_say_bicycle | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_word_for_bicycle | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_word_for_bicycle | semantic abstraction jump
'12_speed_bicycle' -> bicycle_multi_gear -> bicycle -> bike -> another_way_to_say_bicycle | semantic abstraction jump
acoustic_guitar -> guitar -> chordophone -> stringed_instrument | semantic abstraction jump
acoustic_guitar -> guitar -> chordophone -> stringed_instrument -> musical_instrument | semantic abstraction jump
acoustic_guitar -> guitar -> chordophone -> stringed_instrument -> musical_instrument -> musical_equipment | semantic abstraction jump
organic_molecule -> molecule -> poly_atomic_chemical_object -> chemical_object | semantic abstraction jump
endurance_event -> sports_event -> sports_competition -> organized_event | edge semantic failure
endurance_event -> sports_event -> sports_competition -> competition -> organized_event | edge semantic failure
endurance_event -> sports_event -> sports_competition -> competition -> physical_event | edge semantic failure
'155_sp_howitzer' -> self_propelled_howitzer -> howitzer | semantic abstraction jump
'155_sp_howitzer' -> self_propelled_howitzer -> howitzer -> artillery_piece | semantic abstraction jump
orthoplex | structural violation
'90s' | structural violation
musical_performer -> performing_artist -> entertainer -> entertainer_performance_contributor -> person | edge semantic failure
musical_performer -> musician -> performer | semantic abstraction jump
musical_performer -> musician -> performer -> entertainer | semantic abstraction jump
musical_performer -> musician -> performer -> entertainer -> entertainer_performance_contributor | semantic abstraction jump
musical_performer -> musician -> performer -> entertainer -> entertainment_or_arts_professional | semantic abstraction jump
musical_performer -> musician -> performer -> entertainer -> person | semantic abstraction jump
musical_performer -> musician -> performer -> entertainer -> entertainer_performance_contributor -> person | edge semantic failure
musical_performer -> musician -> guitarist -> musical_instrument_player | semantic abstraction jump
musical_performer -> musician -> guitarist -> bass_guitarist -> musical_instrument_player | semantic abstraction jump
musical_performer -> musician -> guitarist -> acoustic_guitarist -> musical_instrument_player | semantic abstraction jump
'2.20371_guilders' | structural violation
'1_cycle_each_second' | structural violation
'1_cycle_per_second' | structural violation
cardiac_valve_regurgitation -> regurgitation -> cardiac_valve_pathology | edge semantic failure
cardiac_valve_regurgitation -> regurgitation -> cardiac_valve_pathology | edge semantic failure
movie -> film -> watch | edge semantic failure
movie -> film -> watch -> machine | edge semantic failure
movie -> film -> watch -> machine -> album | edge semantic failure
movie -> film -> watch -> machine -> album -> book | edge semantic failure
milk -> foodstuff -> food | semantic abstraction jump
milk -> foodstuff -> food -> fuel | semantic abstraction jump
milk -> dairy_product -> foodstuff -> food | semantic abstraction jump
milk -> dairy_product -> foodstuff -> food -> fuel | semantic abstraction jump
illness -> ill_health -> pathological_state | edge semantic failure
album -> collection -> publication | edge semantic failure
album -> book -> product | edge semantic failure
album -> book -> collection -> publication | edge semantic failure
wrotten_spring | structural violation
'australia\'s_centenary_of_federation_year' | structural violation
'2009_nissan_370z_coupe' -> '370z_coupe' -> '370z' -> nissan_vehicle | edge semantic failure
'370z_coupe' -> '370z' -> nissan_vehicle | edge semantic failure
'2010_nissan_370z_coupe' -> '370z_coupe' -> '370z' -> nissan_vehicle | edge semantic failure
'2010_nissan_370z_roadster' -> nissan_370z_roadster -> '370z' -> nissan_vehicle | edge semantic failure
nissan_370z_roadster -> '370z' -> nissan_vehicle | edge semantic failure
festival -> celebration -> ritual -> social_event | edge semantic failure
festival -> celebration -> ritual -> social_event -> event | edge semantic failure
'20_mm_cannon' -> cannon -> large_gun | edge semantic failure
'20_mm_cannon' -> cannon -> large_gun | edge semantic failure
'20_mm_gatling_gun' -> gatling_gun -> multi_barrelled_weapon_system | edge semantic failure
'20_mm_gatling_gun' -> gatling_gun -> multi_barrelled_weapon_system -> projectile_launcher | edge semantic failure
'20_mm_gatling_gun' -> gatling_gun -> multi_barrelled_weapon_system -> projectile_launcher -> projectile_weapon_or_launcher | edge semantic failure
gatling_gun -> machine_gun -> gun | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> conventional_weapon | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> firearm_shoots_bullets | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> projectile_launcher | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> user_triggered_weapon | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> weapon_often | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> weapon | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> weapon_often | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> firearm_shoots_bullets | semantic abstraction jump
gatling_gun -> machine_gun -> gun -> conventional_weapon -> weapon | semantic abstraction jump
machine_cannon -> cannon -> large_gun | edge semantic failure
machine_cannon -> cannon -> large_gun | edge semantic failure
'20_mm_machine_cannon' -> '20_mm_cannon' -> cannon -> large_gun | edge semantic failure
'20_mm_machine_cannon' -> '20_mm_cannon' -> cannon -> large_gun | edge semantic failure
game -> play -> action -> event -> situation | semantic abstraction jump
game -> contest -> competition -> conflict | edge semantic failure
trifluoroethanol | structural violation
rifle -> portable_gun -> gun | semantic abstraction jump
rifle -> portable_gun -> gun -> conventional_weapon | semantic abstraction jump
rifle -> portable_gun -> gun -> firearm_shoots_bullets | semantic abstraction jump
rifle -> portable_gun -> gun -> projectile_launcher | semantic abstraction jump
rifle -> portable_gun -> gun -> user_triggered_weapon | semantic abstraction jump
rifle -> portable_gun -> gun -> weapon_often | semantic abstraction jump
rifle -> portable_gun -> gun -> weapon | semantic abstraction jump
rifle -> portable_gun -> gun -> weapon_often | semantic abstraction jump
rifle -> portable_gun -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
rifle -> portable_gun -> gun -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
rifle -> portable_gun -> gun -> firearm_shoots_bullets | semantic abstraction jump
rifle -> portable_gun -> gun -> conventional_weapon -> weapon | semantic abstraction jump
rifle -> portable_gun -> direct_projectile_launcher -> direct_fire_weapon | semantic abstraction jump
rifle -> portable_gun -> direct_projectile_launcher -> direct_fire_weapon -> projectile_launcher | edge semantic failure
